,CoC,Year,HUD,Predicted_Count,Predicted_Count_low,Predicted_Count_high,Predicted_Total,Predicted_Total_low,Predicted_Total_high
2377,TX-503,2014,1987,1995.68388,1778,2234.05,2463.31344,2289,2692
2378,TX-503,2015,1832,1841.23476,1638,2059,2271.10528,2104,2472
2379,TX-503,2016,2138,2128.424,1904,2358,2626.04012,2447,2820
2380,TX-503,2017,2036,2057.3014,1827,2301,2539.47248,2346,2760
2381,TX-600,2011,3540,3610.28728,3238,4024,3877.16128,3620,4252
2382,TX-600,2012,3447,3463.28012,3130,3781,3719.63796,3517,3975
2383,TX-600,2013,3163,3174.50184,2858,3541,3411.00584,3219,3756
2384,TX-600,2014,3514,3487.01872,3170,3777,3745.39392,3583,3973
2385,TX-600,2015,3141,3152.18596,2845.95,3483,3385.90668,3199,3687
2386,TX-600,2016,3810,3810.38696,3446,4195.05,4091.51244,3878,4433.05
2387,TX-600,2017,3789,3772.50268,3422,4107.05,4052.62932,3864,4323
2388,TX-601,2011,2169,2169.53364,1960,2389,2360.97256,2234,2556
2389,TX-601,2012,2123,2122.35628,1920,2330,2309.78896,2188,2486
2390,TX-601,2013,2390,2391.84136,2163,2622,2603.73824,2458,2793
2391,TX-601,2014,2425,2405.17032,2179,2628,2618.6564,2487,2796
2392,TX-601,2015,1914,1919.60044,1736,2109,2088.66544,1974,2255
2393,TX-601,2016,1938,1928.57704,1745,2110,2100.40088,1991,2247
2394,TX-601,2017,1941,1946.01748,1753,2156,2118.97704,1993,2302.05
2395,TX-603,2011,1331,1317.95396,1186,1456,1518.3838,1427,1637
2396,TX-603,2012,1236,1239.46592,1112,1372,1428.79648,1331,1542
2397,TX-603,2013,1217,1227.6888,1096,1372,1415.11836,1317,1548
2398,TX-603,2014,1260,1259.10328,1131.95,1394,1450.52112,1359,1569
2399,TX-603,2015,1107,1114.72892,1001,1236,1284.28544,1200,1392
2400,TX-603,2016,1100,1104.31552,988,1230,1272.6968,1189,1383
2401,TX-603,2017,1193,1199.18748,1074,1331,1381.83492,1291,1497
2402,TX-604,2011,267,268.64376,238,301,314.68048,291,344
2403,TX-604,2012,319,315.27276,281,351,369.35436,346,400
2404,TX-604,2013,295,293.88052,261,328.05,344.21836,320,375
2405,TX-604,2014,246,248.2366,219.95,278,290.809,269,318
2406,TX-604,2015,255,255.1648,227,285,298.93048,278,324
2407,TX-604,2016,267,265.15876,235,296,310.782,290,337
2408,TX-604,2017,221,222.95048,197,251,261.22628,242,285
2409,TX-607,2011,14643,14522.68992,12800.95,16246,20659.24844,18886,22165
2410,TX-607,2012,12764,12445.96068,10872,14138,17692.87892,16217,19347
2411,TX-607,2013,10128,9708.80216,8657,10833,13803.09408,13003,14829
2412,TX-607,2014,9943,9661.12444,8512,10810.05,13736.18744,12696,14711.05
2413,TX-607,2015,7016,7301.4212,6430,8277,10385.09348,9629,11434
2414,TX-607,2016,6048,5902.17232,5203,6613,8394.58144,7749,9025
2415,TX-607,2017,7153,7415.93716,6481,8383,10551.19212,9605,11498
2416,TX-611,2011,439,440.78376,397,487,473.1222,447,515
2417,TX-611,2012,528,525.56436,474,578,564.43416,536,609
2418,TX-611,2013,516,516.60996,466,570,554.61324,525,601
2419,TX-611,2014,451,455.19956,409,505,488.87436,459,534
2420,TX-611,2015,478,482.23176,433,535,517.66952,487,565
2421,TX-611,2016,592,588.35116,532,644,631.97652,601,679
2422,TX-611,2017,531,531.6582,480,586,571.02864,540,618
2423,TX-624,2011,234,234.54144,211,259,249.56252,236,271
2424,TX-624,2012,226,227.546,204,253,242.03548,228,265
2425,TX-624,2013,302,300.7348,271,331,319.88612,305,346
2426,TX-624,2014,281,280.89972,253,310,298.9702,284,324
2427,TX-624,2015,267,266.40288,240,293,283.4838,269,307
2428,TX-624,2016,256,256.5806,231,283,273.06704,259,297
2429,TX-624,2017,234,236.41608,212,263,251.4988,237,275
2430,TX-700,2011,8471,8327.01976,7516,9136,9987.15096,9419,10617
2431,TX-700,2012,7187,7184.32512,6451.95,7931.05,8614.81708,8043.95,9222
2432,TX-700,2013,6359,6304.05092,5659,7002,7561.84292,7098,8217
2433,TX-700,2014,5308,5347.31124,4754,5970,6413.51876,5929,6981
2434,TX-700,2015,4609,4627.57784,4143.95,5136,5550.92052,5193,5996
2435,TX-700,2016,4031,4116.35644,3670,4632,4938.14896,4583,5442
2436,TX-700,2017,3605,3757.88248,3355,4155,4508.44208,4168,4854
2437,TX-701,2011,233,231.68668,205,260,276.06072,256,301
2438,TX-701,2012,308,302.9504,269,339,361.03328,337,392
2439,TX-701,2013,175,175.2486,154,198,208.89716,193,229
2440,TX-701,2014,188,189.47728,166,214,226.0276,208,248
2441,TX-701,2015,168,169.70972,149,192,202.19752,186,223
2442,TX-701,2016,161,161.41276,141,183,192.32928,177,211
2443,TX-701,2017,102,105.6052,91,121,125.83504,114,140
2444,UT-500,2011,2033,2016.10632,1828,2203,2216.4112,2105,2369
2445,UT-500,2012,2463,2424.66424,2198,2644,2667.09832,2538,2841
2446,UT-500,2013,2133,2138.13016,1928,2353,2351.5232,2215,2538
2447,UT-500,2014,2150,2145.97144,1936,2366,2359.457,2225,2554
2448,UT-500,2015,2176,2197.81956,1977,2446,2417.80588,2268,2644
2449,UT-500,2016,1891,1893.40048,1707,2087,2082.83112,1962,2250.05
2450,UT-500,2017,2047,2042.37968,1844,2252,2246.614,2121,2422
2451,UT-503,2011,898,893.5132,808,979,990.88636,937,1059
2452,UT-503,2012,879,880.65648,791,980,976.66856,917,1066
2453,UT-503,2013,891,887.0832,801,971,984.21468,932,1051
2454,UT-503,2014,782,780.55548,702,862,865.8698,816,938
2455,UT-503,2015,646,658.76348,590,734,730.31288,679,798
2456,UT-503,2016,738,736.15664,663,813,816.4974,770,884
2457,UT-503,2017,634,638.2428,572,705,708.00024,663,765
2458,UT-504,2011,199,201.60996,173,231,266.2932,241,296
2459,UT-504,2012,185,186.68464,161,215,246.73032,224,273
2460,UT-504,2013,253,248.74628,217,283,328.90824,302,361
2461,UT-504,2014,149,152.18764,130,176,201.03976,181,224
2462,UT-504,2015,203,202.63864,176,232,267.8376,245,295
2463,UT-504,2016,178,180.48704,155,208,238.49208,216,265
2464,UT-504,2017,171,172.16444,148,198,227.47116,207,252
2465,VA-500,2011,1084,1071.47492,972,1165,1148.76532,1100,1224
2466,VA-500,2012,933,937.3676,847,1031,1004.90396,951,1086
2467,VA-500,2013,881,877.02408,794,957,940.4412,895,1006
2468,VA-500,2014,846,849.82012,767,939,910.88736,861,990
2469,VA-500,2015,818,824.13064,742,920,883.26884,832,973
2470,VA-500,2016,762,775.36348,694,876,830.93296,776,929
2471,VA-500,2017,662,665.85248,600,739,713.5074,674,780
2472,VA-501,2011,609,614.21452,551,680,680.38188,638,737
2473,VA-501,2012,652,653.62584,588,723,723.84456,680,783
2474,VA-501,2013,742,742.42492,668,824,822.16792,773,897
2475,VA-501,2014,668,668.5342,601,740,740.30584,696,804
2476,VA-501,2015,735,734.50028,661,810,813.29452,767,878
2477,VA-501,2016,723,723.0976,651,796,800.82916,754,862
2478,VA-501,2017,703,710.32428,636,791,786.97976,735,858
2479,VA-502,2011,536,530.68652,481,578,565.96624,542,604
2480,VA-502,2012,561,555.31344,502,606,592.13352,567,633
2481,VA-502,2013,442,444.81752,401,494,474.11408,448,519
2482,VA-502,2014,440,440.35424,397,486,469.6534,445,510
2483,VA-502,2015,390,391.32244,352,434,417.39656,395,456
2484,VA-502,2016,308,310.13432,279,343,330.70852,312,360
2485,VA-502,2017,267,271.87688,243,304,290.0132,271,319
2486,VA-503,2011,427,427.48724,383,474,477.93828,448,518
2487,VA-503,2012,440,441.59356,396,490,493.88148,463,537
2488,VA-503,2013,456,455.98376,409,505,510.17652,479,554
2489,VA-503,2014,440,440.20712,395,486,492.1008,462,532
2490,VA-503,2015,419,419.22792,375,465,468.72564,439,509
2491,VA-503,2016,389,391.35936,350,434,437.47668,409,475
2492,VA-503,2017,349,352.78496,315,393,394.29224,368,430
2493,VA-504,2011,213,211.94256,190,235,233.35104,220,253
2494,VA-504,2012,191,191.10824,171,212,210.31676,197,229
2495,VA-504,2013,195,195.51124,174,218,215.14872,201,235
2496,VA-504,2014,204,202.45328,181,225,222.847,210,242
2497,VA-504,2015,185,185.1656,165,207,203.75372,191,223
2498,VA-504,2016,157,158.02264,140,177,173.94928,162,191
2499,VA-504,2017,160,160.70576,143,179,176.8828,165,193
2500,VA-505,2011,736,729.03952,661,795,783.5062,748,838
2501,VA-505,2012,681,676.78824,614,741,727.61656,693,782
2502,VA-505,2013,533,532.68356,481,585,572.77404,543,616
2503,VA-505,2014,525,528.8104,476,586,568.16104,535,620
2504,VA-505,2015,520,520.97936,469,576,560.14036,529,608
2505,VA-505,2016,464,469.77588,422,521,504.94256,474,551
2506,VA-505,2017,512,510.99976,462,562,549.15808,521,593
2507,VA-507,2011,265,263.7188,236,293,294.1672,276,320
2508,VA-507,2012,332,327.90492,295,362,365.5126,345,394
2509,VA-507,2013,247,246.8354,221,275,275.1618,258,299
2510,VA-507,2014,160,162.17404,144,182,180.78,167,199
2511,VA-507,2015,174,175.58884,155,197,195.74876,182,215
2512,VA-507,2016,169,169.75404,151,190,189.28552,176,207
2513,VA-507,2017,151,153.21136,135,172,170.85732,158,188
2514,VA-508,2011,226,223.47992,200,248,251.27616,236,272
2515,VA-508,2012,214,213.10072,190,237,239.59424,224,260
2516,VA-508,2013,150,152.54372,134,172,171.42252,158,189
2517,VA-508,2014,220,218.49172,195,243,245.46428,230,267
2518,VA-508,2015,237,235.16612,210,262,264.47536,248,287
2519,VA-508,2016,174,174.84068,155,196,196.52584,183,215
2520,VA-508,2017,125,127.68308,112,144,143.52764,132,158
2521,VA-513,2011,311,310.1744,277,345,352.18408,329,382
2522,VA-513,2012,313,312.45712,279,347,354.98564,332,385
2523,VA-513,2013,355,351.77612,315,391,399.57048,375,433
2524,VA-513,2014,249,251.70856,223,282,285.8492,266,313
2525,VA-513,2015,242,244.12964,217,273,277.06024,258,302
2526,VA-513,2016,268,269.12272,240,300,305.64656,285,333
2527,VA-513,2017,280,279.61572,249,311,317.75832,297,345
2528,VA-514,2011,191,189.97876,166,216,239.17352,220,263
2529,VA-514,2012,193,192.7268,168,219,242.47564,223,266
2530,VA-514,2013,192,192.80884,168,220,242.67328,222,268
2531,VA-514,2014,201,201.35656,176,228,253.48592,233,278
2532,VA-514,2015,217,215.71868,189,244,271.49936,250,297
2533,VA-514,2016,209,209.80284,183,238,264.09704,242,290
2534,VA-514,2017,216,215.45624,188,244,271.07008,249,298
2535,VA-521,2011,1064,1038.60528,933.95,1148,1263.0458,1187,1355
2536,VA-521,2012,957,944.7668,844,1050,1149.39424,1074,1244
2537,VA-521,2013,715,725.14108,641,819,881.42564,813,972
2538,VA-521,2014,662,669.90436,593,751,814.75808,751,892
2539,VA-521,2015,773,777.31956,691,869,945.65816,879,1030
2540,VA-521,2016,654,666.17128,589,749,810.25632,745,889
2541,VA-521,2017,722,726.46856,644,817,883.39392,817,969
2542,VA-600,2011,461,457.90992,405,515,569.62404,527,622
2543,VA-600,2012,451,448.305,396,504,557.17644,515,611
2544,VA-600,2013,479,477.52656,422,538,593.95228,548,650
2545,VA-600,2014,291,292.76564,257,331,364.12072,335,400
2546,VA-600,2015,239,239.50612,210,271,298.02688,274,327
2547,VA-600,2016,174,178.076,154,203,221.39348,202,245
2548,VA-600,2017,232,234.07528,204,266,291.01324,267,320
2549,VA-601,2011,1549,1535.99804,1394,1675,1672.25824,1590,1782
2550,VA-601,2012,1534,1520.76884,1380,1657,1655.65624,1575,1762
2551,VA-601,2013,1350,1343.81656,1215,1475,1463.27552,1386,1576
2552,VA-601,2014,1225,1229.40628,1110,1354,1338.75412,1264,1445
2553,VA-601,2015,1204,1207.28036,1087,1346,1314.25396,1238,1443
2554,VA-601,2016,1059,1070.32412,963,1185,1165.41392,1094,1268
2555,VA-601,2017,964,976.66568,877,1082,1063.43032,997,1157
2556,VA-602,2011,162,161.586,143,181,185.7034,173,203
2557,VA-602,2012,168,167.63416,148,188,192.73768,179,211
2558,VA-602,2013,166,165.68192,147,186,190.51796,177,208
2559,VA-602,2014,177,175.98584,156,197,202.32652,189,220
2560,VA-602,2015,172,171.31408,152,192,196.98176,183,215
2561,VA-602,2016,134,135.33608,119,153,155.51868,143,171
2562,VA-602,2017,113,115.20548,100,131,132.42588,121,146
2563,VA-603,2011,416,411.13412,371,452,450.26276,427,484
2564,VA-603,2012,352,348.85864,314,384,382.12836,362,411
2565,VA-603,2013,275,276.16816,247,307,302.5344,283,330
2566,VA-603,2014,267,267.19056,239.95,296,292.68348,275,317
2567,VA-603,2015,267,268.27092,240,299,293.87456,275,322
2568,VA-603,2016,224,226.13432,202,253,247.68404,231,272
2569,VA-603,2017,211,213.98256,191,240,234.371,218,258
2570,VA-604,2011,566,559.10624,499,622,663.52928,620,717
2571,VA-604,2012,452,455.34816,404,511,540.11992,500,591
2572,VA-604,2013,447,449.57688,400,502,533.81684,496,580
2573,VA-604,2014,445,446.0318,397,499,529.5128,492,576
2574,VA-604,2015,409,411.40684,364,462,488.42912,452,535
2575,VA-604,2016,400,403.82792,357,455,479.42536,443,527
2576,VA-604,2017,400,403.45408,358,451,478.91352,444,521
2577,VT-500,2011,655,663.42256,594,738,733.33628,684,801
2578,VT-500,2012,776,781.459,701,870,864.12476,808,944
2579,VT-500,2013,971,969.38612,874,1073,1071.39572,1009,1161
2580,VT-500,2014,1027,1027.00272,923,1140,1135.57396,1068,1236
2581,VT-500,2015,1052,1048.8294,945,1158,1159.67488,1093,1256
2582,VT-500,2016,785,788.3908,710,872,871.36496,818,946
2583,VT-500,2017,934,932.2466,842,1025,1030.69536,973,1107
2584,VT-501,2011,489,486.02296,438,536,531.76888,503,575
2585,VT-501,2012,384,386.39396,346,429,422.65216,397,460
2586,VT-501,2013,483,481.16568,433,531,526.31964,497,569
2587,VT-501,2014,532,527.72712,476,580,577.3726,547,623
2588,VT-501,2015,471,467.29232,422,513,511.29892,484,550
2589,VT-501,2016,332,336.96604,301,376,368.70028,344,404
2590,VT-501,2017,291,296.65276,264,333,324.61136,302,358
2591,WA-500,2011,8972,9008.1788,8032,10058.05,10707.78276,9916,11687
2592,WA-500,2012,8899,9013.29316,8093,9975,10710.63512,10038,11519
2593,WA-500,2013,9106,9225.15332,8271.95,10271,10963.7368,10251,11931
2594,WA-500,2014,8949,9068.1668,8089.95,10092.05,10776.9234,9985,11717.05
2595,WA-500,2015,10122,10106.77716,9037,11225.05,12014.47876,11178,13054
2596,WA-500,2016,10730,10739.7812,9642,11900,12762.86676,11941,13812
2597,WA-500,2017,11643,11579.78804,10448,12701.05,13757.64788,12979,14607
2598,WA-501,2011,4956,4913.02916,4401.95,5500,5878.85696,5504,6495.05
2599,WA-501,2012,4819,4811.60072,4310.95,5357,5754.69968,5392,6240
2600,WA-501,2013,4108,4102.09888,3690,4533,4908.09844,4607,5288
2601,WA-501,2014,4703,4702.92556,4213,5201,5627.08432,5252,6064
2602,WA-501,2015,4951,5035.30376,4492,5623,6025.47772,5597,6576
2603,WA-501,2016,5294,5314.42872,4780,5863,6358.1894,5963,6829
2604,WA-501,2017,4671,4681.9974,4193,5192,5603.35336,5238,6066
2605,WA-502,2011,1272,1261.64652,1141,1386,1399.7846,1324,1503
2606,WA-502,2012,1185,1182.21188,1067,1303,1311.04772,1235,1414
2607,WA-502,2013,1030,1037.512,931,1154,1150.42736,1078,1255
2608,WA-502,2014,1149,1143.74572,1031,1258,1268.77056,1196,1366
2609,WA-502,2015,1034,1040.24032,936,1150,1154.26164,1083,1250
2610,WA-502,2016,981,987.39888,888.95,1094,1095.11124,1027,1190
2611,WA-502,2017,1090,1089.41644,980,1204,1208.68548,1137,1309
2612,WA-503,2011,2089,2074.28828,1880,2272,2261.58544,2146,2425
2613,WA-503,2012,1997,1978.71092,1793,2168.05,2158.1382,2052,2319
2614,WA-503,2013,1303,1323.34304,1187,1468,1443.23528,1351,1575
2615,WA-503,2014,1464,1468.00024,1326,1613.05,1600.94192,1511,1725
2616,WA-503,2015,1283,1294.9224,1165,1434,1412.09512,1325,1534
2617,WA-503,2016,1762,1748.4538,1583,1921,1906.39216,1809,2056
2618,WA-503,2017,1321,1337.7178,1201,1483,1458.40632,1365,1587
2619,WA-504,2011,1860,1843.75676,1654,2043,2185.81804,2048,2361.05
2620,WA-504,2012,2061,2024.29392,1819,2234,2399.81404,2249,2577
2621,WA-504,2013,947,951.47604,847,1063,1128.40724,1048,1231
2622,WA-504,2014,949,950.93088,849,1062,1127.72784,1049,1229
2623,WA-504,2015,829,840.50628,748,938,997.2048,925,1085
2624,WA-504,2016,960,966.66,860,1080,1146.41752,1064,1254
2625,WA-504,2017,1066,1080.07496,962,1205,1280.81404,1185,1394
2626,WA-507,2011,443,446.342,399,497,500.0692,467,544
2627,WA-507,2012,523,523.39052,469,581,586.21992,549,636
2628,WA-507,2013,563,559.98156,503,618,627.78792,591,678
2629,WA-507,2014,533,532.09468,478,589,596.06808,560,645
2630,WA-507,2015,538,536.12964,481,593,600.49728,564,650
2631,WA-507,2016,412,421.9342,375,472,472.53884,438,518
2632,WA-507,2017,572,567.00008,510,626,634.99316,599,686
2633,WA-508,2011,847,847.58472,760,940,959.30228,899,1041
2634,WA-508,2012,1020,1004.40352,906,1105,1136.44804,1073,1219
2635,WA-508,2013,703,706.40536,634,782,799.55508,749,863
2636,WA-508,2014,695,700.18332,627,780,792.44596,739,864
2637,WA-508,2015,662,665.47544,597,738,753.1228,704,819
2638,WA-508,2016,688,691.33568,620,767,782.32184,731,849
2639,WA-508,2017,749,746.9922,673,824,845.30424,795,910
2640,WI-500,2011,3400,3408.55312,3071.95,3755,3867.59568,3628,4159
2641,WI-500,2012,3618,3572.34024,3235,3915,4055.41992,3848,4342
2642,WI-500,2013,3610,3633.3934,3271.95,4007,4122.23572,3856,4427
2643,WI-500,2014,3569,3516.41732,3189,3838,3991.2324,3783,4232
2644,WI-500,2015,3597,3564.1574,3230,3889.05,4044.93924,3827,4298
2645,WI-500,2016,3445,3501.34752,3131,3924,3973.10076,3688.95,4367
2646,WI-500,2017,3348,3305.4346,2980,3656,3751.31224,3540,4061
2647,WI-501,2011,1466,1456.32468,1315,1604,1617.75616,1529,1745
2648,WI-501,2012,1432,1431.80412,1291,1575,1591.1222,1499,1713
2649,WI-501,2013,1442,1442.90116,1298,1603,1603.33348,1507,1746
2650,WI-501,2014,1499,1507.10832,1352,1678,1674.45936,1566,1829
2651,WI-501,2015,1521,1524.2126,1374,1689,1693.44104,1592,1845
2652,WI-501,2016,1415,1412.88392,1273,1557,1570.07256,1477,1691
2653,WI-501,2017,900,918.07204,823,1020,1019.64404,951,1109.05
2654,WI-502,2011,243,241.74492,218,265,256.86696,245,277
2655,WI-502,2012,241,239.7238,216,263,254.81068,243,274
2656,WI-502,2013,221,221.0186,199,243.05,234.72316,223,254
2657,WI-502,2014,210,210.44612,189,233,223.70316,212,244
2658,WI-502,2015,168,170.86876,152,192,181.64412,170,201
2659,WI-502,2016,196,196.30936,176,217,208.53248,197,227
2660,WI-502,2017,194,194.58512,175,216,206.68912,196,225
2661,WI-503,2011,676,679.40252,611,752,748.78036,703,812
2662,WI-503,2012,736,738.94736,665,819,814.70268,765,884
2663,WI-503,2013,831,824.30536,745,905,908.02396,860,976
2664,WI-503,2014,777,773.72552,698,851,852.29068,805,918
2665,WI-503,2015,771,768.7238,693,847,847.04004,799,915
2666,WI-503,2016,629,634.1888,570,702,698.38248,655,757
2667,WI-503,2017,585,589.49832,529,655,649.61528,609,706
2668,WV-500,2011,124,123.03876,108,138,142.22516,132,156
2669,WV-500,2012,116,115.24456,101,130,133.2784,124,146
2670,WV-500,2013,89,90.91996,79,104,105.14436,96,117
2671,WV-500,2014,97,98.29228,85,112,113.73972,104,126
2672,WV-500,2015,114,113.65992,100,128,131.46572,122,144
2673,WV-500,2016,91,92.51476,80,105.05,106.973,98,118
2674,WV-500,2017,118,117.2856,103,132,135.62076,126,148
2675,WV-501,2011,238,238.17672,212,265,265.57224,248,289
2676,WV-501,2012,274,271.4802,243,301,302.60124,285,327
2677,WV-501,2013,227,227.04148,202,252,253.22776,237,275
2678,WV-501,2014,218,220.03972,195,246,245.20804,228,268
2679,WV-501,2015,227,227.79212,203,254,253.72348,237,277
2680,WV-501,2016,228,227.24884,203,253,253.32376,238,275
2681,WV-501,2017,205,206.523,183,231,230.11364,214,252
2682,WV-503,2011,394,395.67556,355,439,428.78268,404,468
2683,WV-503,2012,416,413.601,373,454,448.21292,425,483
2684,WV-503,2013,411,411.8908,370,456,446.53284,421,485
2685,WV-503,2014,360,362.27384,325,403,392.69456,369,429
2686,WV-503,2015,385,384.31204,346,424,416.55068,394,450.05
2687,WV-503,2016,320,323.45204,289,361,350.68696,329,384
2688,WV-503,2017,319,320.43004,287,356,347.30616,327,379
2689,WV-508,2011,1455,1451.53892,1287,1618,1830.65576,1692,1977
2690,WV-508,2012,1604,1601.70532,1423,1791,2020.31136,1876,2196
2691,WV-508,2013,1513,1510.77312,1336,1716,1904.65804,1757,2119
2692,WV-508,2014,1338,1332.81368,1185,1493,1680.95944,1562,1833
2693,WV-508,2015,1109,1113.00164,985,1248,1404.26304,1294,1528
2694,WV-508,2016,748,757.39028,667,854,955.44492,879,1048
2695,WV-508,2017,667,685.69732,605,770,864.73044,796,942
2696,WY-500,2011,1038,1039.26892,936,1148,1140.56052,1074,1237
2697,WY-500,2012,1813,1785.79624,1620,1948,1958.93988,1865,2090
2698,WY-500,2013,953,957.95756,861,1058,1051.3098,988,1141
2699,WY-500,2014,757,766.78116,687,857,841.64572,787,926
2700,WY-500,2015,798,798.25192,718,880,876.15432,826,947
2701,WY-500,2016,857,860.26224,774,956,944.275,888,1030
2702,WY-500,2017,873,872.9548,788,961,958.18024,903,1033
